Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
At Work,TAXI,NON-NYC,STATEN ISLAND,AM Peak,14,60
At Work,TAXI,NON-NYC,STATEN ISLAND,Other,14,60
At Work,TAXI,NON-NYC,WHR,AM Peak,14,60
At Work,TAXI,NON-NYC,WHR,Other,14,60
At Work,TAXI,STATEN ISLAND,MANHATTAN,AM Peak,13,35
At Work,TAXI,STATEN ISLAND,MANHATTAN,Other,13,35
At Work,TAXI,STATEN ISLAND,NON-NYC,AM Peak,14,60
At Work,TAXI,STATEN ISLAND,NON-NYC,Other,14,60
At Work,TAXI,STATEN ISLAND,STATEN ISLAND,AM Peak,14,60
At Work,TAXI,STATEN ISLAND,STATEN ISLAND,Other,14,60
At Work,TAXI,STATEN ISLAND,WHR,AM Peak,14,60
At Work,TAXI,STATEN ISLAND,WHR,Other,14,60
At Work,TAXI,WHR,MANHATTAN,AM Peak,13,35
At Work,TAXI,WHR,MANHATTAN,Other,13,35
At Work,TAXI,WHR,NON-NYC,AM Peak,14,60
At Work,TAXI,WHR,NON-NYC,Other,14,60
At Work,TAXI,WHR,STATEN ISLAND,AM Peak,14,60
At Work,TAXI,WHR,STATEN ISLAND,Other,14,60
At Work,TAXI,WHR,WHR,AM Peak,14,60
At Work,TAXI,WHR,WHR,Other,14,60
At Work,WC,MANHATTAN,MANHATTAN,AM Peak,13,35
At Work,WC,MANHATTAN,MANHATTAN,Other,13,35
At Work,WC,MANHATTAN,NON-NYC,AM Peak,14,60
At Work,WC,MANHATTAN,NON-NYC,Other,14,60
At Work,WC,MANHATTAN,STATEN ISLAND,AM Peak,14,60
At Work,WC,MANHATTAN,STATEN ISLAND,Other,14,60
At Work,WC,MANHATTAN,WHR,AM Peak,14,60
At Work,WC,MANHATTAN,WHR,Other,14,60
At Work,WC,NON-NYC,MANHATTAN,AM Peak,13,35
At Work,WC,NON-NYC,MANHATTAN,Other,13,35
At Work,WC,NON-NYC,NON-NYC,AM Peak,14,60
At Work,WC,NON-NYC,NON-NYC,Other,14,60
At Work,WC,NON-NYC,STATEN ISLAND,AM Peak,14,60
At Work,WC,NON-NYC,STATEN ISLAND,Other,14,60
At Work,WC,NON-NYC,WHR,AM Peak,14,60
At Work,WC,NON-NYC,WHR,Other,14,60
At Work,WC,STATEN ISLAND,MANHATTAN,AM Peak,13,35
At Work,WC,STATEN ISLAND,MANHATTAN,Other,13,35
At Work,WC,STATEN ISLAND,NON-NYC,AM Peak,14,60
At Work,WC,STATEN ISLAND,NON-NYC,Other,14,60
At Work,WC,STATEN ISLAND,STATEN ISLAND,AM Peak,14,60
At Work,WC,STATEN ISLAND,STATEN ISLAND,Other,14,60
At Work,WC,STATEN ISLAND,WHR,AM Peak,14,60
At Work,WC,STATEN ISLAND,WHR,Other,14,60
At Work,WC,WHR,MANHATTAN,AM Peak,13,35
At Work,WC,WHR,MANHATTAN,Other,13,35
At Work,WC,WHR,NON-NYC,AM Peak,14,60
At Work,WC,WHR,NON-NYC,Other,14,60
At Work,WC,WHR,STATEN ISLAND,AM Peak,14,60
At Work,WC,WHR,STATEN ISLAND,Other,14,60
At Work,WC,WHR,WHR,AM Peak,14,60
At Work,WC,WHR,WHR,Other,14,60
At Work,WT,MANHATTAN,MANHATTAN,AM Peak,13,35
At Work,WT,MANHATTAN,MANHATTAN,Other,13,35
At Work,WT,MANHATTAN,NON-NYC,AM Peak,14,60
At Work,WT,MANHATTAN,NON-NYC,Other,14,60
At Work,WT,MANHATTAN,STATEN ISLAND,AM Peak,14,60
At Work,WT,MANHATTAN,STATEN ISLAND,Other,14,60
At Work,WT,MANHATTAN,WHR,AM Peak,14,60
At Work,WT,MANHATTAN,WHR,Other,14,60
At Work,WT,NON-NYC,MANHATTAN,AM Peak,13,35
At Work,WT,NON-NYC,MANHATTAN,Other,13,35
At Work,WT,NON-NYC,NON-NYC,AM Peak,14,60
At Work,WT,NON-NYC,NON-NYC,Other,14,60
At Work,WT,NON-NYC,STATEN ISLAND,AM Peak,14,60
At Work,WT,NON-NYC,STATEN ISLAND,Other,14,60
At Work,WT,NON-NYC,WHR,AM Peak,14,60
At Work,WT,NON-NYC,WHR,Other,14,60
At Work,WT,STATEN ISLAND,MANHATTAN,AM Peak,13,35
At Work,WT,STATEN ISLAND,MANHATTAN,Other,13,35
