Map,AM Peak,Midday,PM Peak,Night,Version
71,0.1844352396462,0.3751317786686,0.23846982902939998,0.20196315265601,Draft Final
72,0.12390714302179001,0.3867988285224,0.2811837439558,0.20811028450005,Draft Final
72,0.127158179,0.398725692,0.270487833,0.203628296,1996
73,0.1487767850819,0.3298911558351,0.19651531864629998,0.3248167404367,Draft Final
73,0.145611883,0.33614790299999997,0.18905100400000002,0.329189212,1996
74,0.11641485734675999,0.3914407500034,0.24415924838670006,0.24798514426328003,Draft Final
74,0.11996030700000002,0.40171440199999997,0.23278495400000004,0.24554033799999997,1996
77,0.269252508,0.485728416,0.110286846,0.13473222799999998,1996
77,0.2746220155493,0.49116857548250004,0.12413452124828,0.110074887720212,Draft Final
78,0.30295776299999994,0.447479236,0.109151919,0.14041108,1996
78,0.31180274660900004,0.4524183529489,0.12183032565058002,0.11394857479173398,Draft Final
