Map,AM Peak,Midday,PM Peak,Night,Version
70,0.356097,0.3666554000000001,0.10976219999999999,0.1674854,1996
71,0.18368278099999996,0.39678714699999995,0.21000785800000002,0.20952221399999998,1996
71,0.1826820437233703,0.39025106294751577,0.21974281623492528,0.20732407709418846,Draft Final
72,0.13268621300193892,0.4101088966906181,0.26041614040314726,0.19678874990429573,Draft Final
72,0.13788701600000003,0.42048069,0.249702209,0.191930085,1996
73,0.14793891212829996,0.34148491111244117,0.1820793879228657,0.3284967888363933,Draft Final
73,0.15006414399999998,0.346356114,0.174859405,0.328720339,1996
74,0.1264417502393078,0.4113989559929733,0.2216741172172153,0.24048517655050342,Draft Final
74,0.132778216,0.420611802,0.21030911000000002,0.236300873,1996
77,0.264942772,0.466723188,0.08478168800000001,0.18355235,1996
